Rev,Name,Level,Blend,Treble,Bass,Presence,Drive,Mid,Mid Shift,Bass Shift
v2,Fat Tube,1030,1530,1300,1200,1200,1200,1100,Out,Out
v2,Bassman,1030,1630,1430,1100,1030,1200,1100,Out,Out
v2,SVT,930,1700,1330,1300,1400,1200,1100,In,In
v2,King X,900,1700,1230,1300,1400,1630,1030,Out,In
v2,Slap,1100,1700,1430,1330,1300,930,1000,In,In
v2,Reggae,900,1700,1230,1700,1300,1300,1000,In,In
v2,Yes,900,1700,1130,1330,1500,1400,1500,In,In
v2,Jaco,900,1630,800,1130,1430,1200,1700,Out,Out
v2,Clean,1030,1200,1200,1400,1500,700,1100,Out,In
v2,Acoustic,1100,1230,1500,1300,1330,730,930,In,Out
v2,80s,900,1330,1030,1230,1400,1330,1330,Out,Out
v2,Active Emu,1100,730,1300,1300,1200,1200,900,Out,Out
v1,Fat Tube,1200,1700,1200,1200,1200,1200,,,
v1,Bassman,1200,1700,1430,1100,1100,1200,,,
v1,SVT,1200,1700,1030,1300,1400,1200,,,
v1,King X,1030,1700,1030,1200,1400,1530,,,
v1,Slap,1030,1700,1500,1530,1300,900,,,
v1,Reggae,1030,1700,1200,1700,1200,1430,,,
v1,Crimson,1030,1700,1500,1500,1400,1500,,,
v1,Solo,1100,1700,700,1100,1700,1700,,,
v1,Clean,1300,1200,1200,1300,1430,700,,,
v1,Acoustic,1330,1700,1200,1200,1100,700,,,
v1,Chapman Low,1130,1030,1230,1330,1230,1700,,,
v1,Chapman High,1130,1700,1130,1330,1000,1630,,,